id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,comments,views,owner_username,pillar,engagement_score
3626502818607306964,post,Sidecar,,https://www.instagram.com/p/DJT7Rl4CpjU/,DJT7Rl4CpjU,2025-05-06T12:00:34.000Z,2025-05-06,Tuesday,12,When tender lame meets crispy flatbread. Come get yours. #treehouserestaurant #food #goodfood,93,3,treehouserestaurant food goodfood,0,,5,0,0,treehousegh,food,5
3601165961560405081,post,Video,clips,https://www.instagram.com/p/DH56Vy8CTRZ/,DH56Vy8CTRZ,2025-04-04T13:00:41.000Z,2025-04-04,Friday,13,"Friends who drink together, stay together. #treehouserestaurant #friends #drinks #reels",87,4,treehouserestaurant friends drinks reels,0,,47,0,2584,treehousegh,cocktails/drinks,72.84
3612731885803327607,post,Video,clips,https://www.instagram.com/p/DIjAIJSCNB3/,DIjAIJSCNB3,2025-04-17T12:00:47.000Z,2025-04-17,Thursday,12,"Your Easter table is waiting. Bring your family and friends, we'll bring the flavour. #reels #explore #treehouserestaurant #Easter #goodtimes",141,5,reels explore treehouserestaurant easter goodtimes,0,,19,0,1654,treehousegh,reservations/bookings,35.54
3623603620337621119,post,Video,clips,https://www.instagram.com/p/DJJoEtFCxh_/,DJJoEtFCxh_,2025-05-02T12:00:26.000Z,2025-05-02,Friday,12,Surprise guest? Just natural girl @mzveegh doing what she does best. #treehouserestaurant #performance #reels #explore #dinner,126,5,treehouserestaurant performance reels explore dinner,1,mzveegh,97,0,3641,treehousegh,birthdays/celebrations,133.41
3583779177226610310,post,Sidecar,,https://www.instagram.com/p/DG8JCyMCKaG/,DG8JCyMCKaG,2025-03-08T13:16:31.000Z,2025-03-08,Saturday,13,Here's to all our incredible women. Today's for you!! #internationalwomensday #treehouserestaurant #womeninspire,112,3,internationalwomensday treehouserestaurant womeninspire,0,,38,0,0,treehousegh,general brand/content,38
3583045764567796316,post,Sidecar,,https://www.instagram.com/p/DG5iSObCApc/,DG5iSObCApc,2025-03-07T12:59:21.000Z,2025-03-07,Friday,12,"Unwind and ignite your creativity at our Creative Mixer this Friday after work! Whether you're an artist, designer, or just love to network, this is the perfect place to connect, collaborate, and get inspired. 👉 Grab a drink, meet some amazing people, and let’s spark some fresh ideas together! 🎤🍸 Don’t miss out – creativity flows better with a cocktail in hand! #CreativeMixer #AfterWorkVibes #MixAndMingle #treehouserestaurant",432,4,creativemixer afterworkvibes mixandmingle treehouserestaurant,0,,65,0,0,treehousegh,food,65
3581628007439682829,post,Sidecar,,https://www.instagram.com/p/DG0f7JNCE0N/,DG0f7JNCE0N,2025-03-05T14:02:31.000Z,2025-03-05,Wednesday,14,"Sip, Savour and spark creativity! Join us for an evening where great minds meet and inspiration flows as freely as our signature cocktails. Date: Friday 7th March Time: 8:00pm #creativemixer #treehouserestaurant #outdoorinspiration",231,3,creativemixer treehouserestaurant outdoorinspiration,0,,53,0,0,treehousegh,food,53
3584436298431820725,post,Sidecar,,https://www.instagram.com/p/DG-edKAC3O1/,DG-edKAC3O1,2025-03-09T11:02:06.000Z,2025-03-09,Sunday,11,Great food tastes even better when shared outdoors. Come dine with us #outdooreats #treehouserestaurant #goodvibesonly,118,3,outdooreats treehouserestaurant goodvibesonly,0,,31,1,0,treehousegh,food,36
3596817111500516995,post,Sidecar,,https://www.instagram.com/p/DHqdhstCO6D/,DHqdhstCO6D,2025-03-25T15:00:56.000Z,2025-03-25,Tuesday,15,Sautéed to perfection. These prawns are everything you need today. Call or text 0599400737 for orders. #treehouserestaurant #food #treats,137,3,treehouserestaurant food treats,0,,17,0,0,treehousegh,food,17
3588814392823365362,post,Video,clips,https://www.instagram.com/p/DHOB60JC77y/,DHOB60JC77y,2025-03-15T12:00:24.000Z,2025-03-15,Saturday,12,Not just eating but bonding over every bite. #treehouserestaurant #goodvibesonly #tastybites #food,98,4,treehouserestaurant goodvibesonly tastybites food,0,,29,1,1875,treehousegh,food,52.75
3591743826421157717,post,Sidecar,,https://www.instagram.com/p/DHYb_ryCQ9V/,DHYb_ryCQ9V,2025-03-19T13:00:27.000Z,2025-03-19,Wednesday,13,"The perfect comfort food does exist. Our slow cooked lamb shank is melt-in-your-mouth tender and full of rich flavors. Come treat yourself today. For reservations and orders, call 0599400737. #treehouserestaurant #goodfood #lamblovers #comfortfood",247,4,treehouserestaurant goodfood lamblovers comfortfood,0,,15,0,0,treehousegh,food,15
